Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI
C.J. Cron,COL,1B,34,56,208,31,54,12,0,11,32
Joey Votto,CIN,1B,40,65,208,26,42,6,0,14,38
Jordan Westburg,BAL,2B,25,68,208,26,54,17,2,3,23
James McCann,BAL,C,33,70,207,25,46,14,0,6,26
Alan Trejo,COL,SS,28,83,207,24,48,11,0,4,26
Carlos Santana,MIL,1B,38,52,205,33,51,8,1,11,33
Tucupita Marcano,PIT,OF,24,75,202,16,47,12,2,3,18
Rob Refsnyder,BOS,OF,33,89,202,31,50,9,1,1,28
Victor Caratini,MIL,C,30,62,201,23,52,4,0,7,25
Josh Bell,MIA,1B,31,53,200,26,54,9,0,11,26
Aaron Hicks,BAL,OF,34,65,200,35,55,7,1,7,31
Nick Ahmed,ARI,SS,34,72,198,14,42,10,1,2,17
Bo Naylor,CLE,C,24,67,198,33,47,13,0,11,32
Jake Burger,MIA,3B,28,53,198,27,60,13,0,9,28
Liover Peguero,PIT,SS,23,59,198,21,47,4,1,7,26
Rodolfo Castro,PIT,2B,25,78,197,19,45,7,0,6,22
Kevin Pillar,ATL,OF,35,81,197,29,45,10,0,9,32
Tommy Pham,ARI,OF,36,50,195,26,47,12,2,6,32
Christian Arroyo,BOS,2B,29,66,195,23,47,16,0,3,24
Josh Smith,TEX,SS,26,90,195,29,36,8,1,6,15
Randal Grichuk,LAA,OF,32,54,194,25,42,12,1,8,17
Kolten Wong,SEA,2B,33,67,194,21,32,6,0,2,19
Matt Duffy,KC,3B,33,79,191,17,48,8,0,2,16
Pavin Smith,ARI,OF,28,69,191,26,36,5,0,7,30
Sal Frelick,MIL,OF,24,57,191,29,47,9,1,3,24
Josh Rojas,ARI,3B,29,59,189,23,43,13,0,0,26
Matt Carpenter,SD,DH,38,76,188,18,33,12,0,5,31
Reese McGuire,BOS,C,29,72,187,15,50,12,1,1,16
Endy Rodriguez,PIT,C,24,57,186,27,41,7,2,3,13
Austin Slater,SF,OF,31,89,185,24,50,9,0,5,20
Jake Cave,PHI,OF,31,65,184,18,39,8,1,5,21
Trevor Larnach,MIN,OF,27,58,183,26,39,7,3,8,40
Logan O'Hoppe,LAA,C,24,51,182,23,43,6,0,14,29
Jared Triolo,PIT,3B,26,54,181,30,54,9,0,3,21
Luke Maile,CIN,C,33,78,179,17,42,10,0,6,25
Austin Barnes,LAD,C,34,59,178,15,32,5,0,2,11
Brendan Rodgers,COL,2B,27,46,178,21,46,9,1,4,20
Eduardo Escobar,LAA,3B,35,60,178,17,39,3,3,2,15
Mark Canha,MIL,OF,35,50,178,23,51,10,0,5,33
Oswald Peraza,NYY,3B,23,52,173,15,33,8,0,2,14
Oscar Gonzalez,CLE,OF,26,54,173,15,37,7,2,2,12
Carlos Perez,OAK,C,33,68,168,17,38,4,0,6,20
Enrique Hernandez,LAD,SS,32,54,168,19,44,12,0,5,30
Jason Delay,PIT,C,29,70,167,20,42,11,1,1,18
Pablo Reyes,BOS,SS,30,64,167,27,48,9,0,2,20
Jesse Winker,MIL,OF,30,61,166,16,33,5,0,1,23
Lenyn Sosa,CWS,2B,24,52,164,12,33,6,0,6,14
Luis Campusano,SD,C,25,49,163,27,52,7,0,7,30
Seby Zavala,CWS,C,30,66,161,15,25,3,0,7,16
Austin Hedges,PIT,C,31,65,161,13,29,5,0,1,14
DJ Stewart,NYM,OF,30,58,160,21,39,9,0,11,26
Nicky Lopez,KC,2B,29,68,160,19,34,5,3,0,13
Jake Alu,WAS,2B,27,51,159,14,36,2,1,2,16
Trevor Story,BOS,SS,31,43,158,12,32,9,0,3,14
Kole Calhoun,CLE,OF,36,43,157,18,34,7,0,6,25
Jose Trevino,NYY,C,31,55,157,15,33,4,0,4,15
Chad Wallach,LAA,C,32,65,157,18,31,5,1,7,15
Tyler Freeman,CLE,3B,25,64,153,20,37,7,0,4,18
Francisco Mejia,TB,C,28,50,150,22,34,11,0,5,19
Johan Rojas,PHI,OF,23,59,149,24,45,9,2,2,23
Anthony Rendon,LAA,3B,34,43,148,23,35,6,0,2,22
Zach Remillard,CWS,2B,30,54,147,16,37,7,0,1,18
Tom Murphy,SEA,C,33,47,145,19,42,12,0,8,17
Dylan Moore,SEA,OF,31,67,145,18,30,9,1,7,19
Corey Dickerson,WAS,OF,35,50,144,12,36,7,1,2,17
Cam Gallagher,CLE,C,31,56,143,6,18,6,0,0,7
Blake Perkins,MIL,OF,27,67,143,28,31,7,0,4,20
Riley Adams,WAS,C,27,44,143,8,39,13,2,4,21
Nelson Cruz,SD,DH,43,49,143,9,35,5,1,5,23
Jose Miranda,MIN,3B,25,40,142,12,30,4,0,3,13
Michael Toglia,COL,OF,25,45,141,18,23,5,0,4,9
Kody Clemens,PHI,3B,28,49,139,15,32,7,0,4,13
Enmanuel Valdez,BOS,2B,25,49,139,17,37,8,0,6,19
Rougned Odor,SD,2B,30,59,138,21,28,9,0,4,18
Jeimer Candelario,CHC,3B,30,41,137,20,32,9,1,6,17
Jonathan Schoop,DET,2B,32,55,136,15,29,8,0,0,7
Ramon Laureano,CLE,OF,29,41,136,22,33,8,1,3,14
Kevin Smith,OAK,SS,27,49,135,15,25,4,0,5,11
Dominic Canzone,SEA,OF,26,44,135,19,29,11,0,5,13
Willie Calhoun,NYY,OF,29,44,134,16,32,7,0,5,16
Jose Barrero,CIN,OF,26,46,133,15,29,8,0,2,17
Nelson Velazquez,KC,OF,25,40,133,27,31,4,0,14,28
Miles Mastrobuoni,CHC,3B,28,61,133,24,32,5,0,1,5
Miguel Amaya,CHC,C,25,53,131,17,28,4,0,5,18
Austin Nola,SD,C,34,52,130,9,19,3,0,1,8
Omar Narvaez,NYM,C,32,49,128,12,27,5,0,2,7
Billy McKinney,NYY,OF,29,48,128,19,29,3,1,6,14
Wil Myers,CIN,OF,33,37,127,11,24,3,0,3,12
AJ Pollock,SEA,OF,36,49,127,15,22,4,0,5,15
Amed Rosario,LAD,SS,28,48,125,19,32,6,2,3,18
Parker Meadows,DET,OF,24,37,125,19,29,4,2,3,13
Josh Rojas,SEA,3B,29,46,125,24,34,4,0,4,14
Tyler Soderstrom,OAK,DH,22,45,125,9,20,1,0,3,7
David Villar,SF,2B,27,46,124,15,18,6,0,5,12
Dairon Blanco,KC,OF,31,69,124,19,32,7,4,3,18
Mike Zunino,CLE,C,33,42,124,11,22,7,0,3,11
Lawrence Butler,OAK,OF,23,42,123,10,26,4,0,4,10
Masyn Winn,STL,SS,22,37,122,8,21,2,0,2,12
Ryan McKenna,BAL,OF,27,89,122,23,31,7,0,2,18
Matthew Batten,SD,3B,28,43,120,19,31,6,0,2,11
Brett Wisely,SF,2B,25,51,120,10,21,5,0,2,8
Austin Wynns,COL,C,33,45,117,11,25,5,0,1,8
Garrett Cooper,SD,1B,33,41,117,14,28,7,0,4,15
Davis Schneider,TOR,2B,25,35,116,23,32,12,1,8,20
Nick Gonzales,PIT,2B,25,35,115,12,24,8,1,2,13
Mike Moustakas,COL,3B,35,47,115,21,31,7,0,4,17
Rafael Ortega,NYM,OF,33,47,114,16,25,3,0,1,8
Noelvi Marte,CIN,3B,22,35,114,15,36,7,0,3,15
Garrett Stubbs,PHI,C,31,41,113,15,23,4,1,1,12
Eduardo Escobar,NYM,3B,35,40,110,15,26,3,2,4,16
Tucker Barnhart,CHC,C,33,47,109,6,22,3,0,1,9
Nolan Schanuel,LAA,1B,22,29,109,19,30,3,0,1,6
Avisail Garcia,MIA,OF,32,37,108,8,20,3,1,3,12
Victor Robles,WAS,OF,27,36,107,15,32,5,1,0,8
Luis Guillorme,NYM,2B,29,54,107,12,24,6,1,1,9
Jacob Young,WAS,OF,24,33,107,9,27,7,1,0,12
Josh Donaldson,NYY,3B,38,34,106,13,15,1,0,10,15
Yu Chang,BOS,3B,28,39,105,12,17,2,0,6,18
Jackie Bradley,KC,OF,34,43,105,10,14,5,0,1,6
Jesus Aguilar,OAK,1B,33,36,104,8,23,2,0,5,9
Jared Walsh,LAA,1B,30,39,104,10,13,4,0,4,11
Josh Harrison,PHI,2B,36,41,103,8,21,3,0,2,10
Rene Pinto,TB,C,27,39,103,10,26,3,0,6,16
David Fry,CLE,C,28,58,101,12,24,6,0,4,15
Alika Williams,PIT,SS,25,46,101,7,20,5,0,0,6
Ronny Mauricio,NYM,2B,23,26,101,11,25,4,0,2,9
Jose Herrera,ARI,C,27,43,101,15,21,5,0,0,7
Tyler Nevin,DET,3B,27,41,95,11,19,3,1,2,10
Eric Hosmer,CHC,1B,34,31,94,7,22,3,0,2,14
Alfonso Rivas,PIT,1B,27,40,94,6,22,8,1,3,14
Richie Palacios,STL,OF,27,32,93,9,24,6,0,6,16
Romy Gonzalez,CWS,2B,27,44,93,11,18,4,2,3,14
Everson Pereira,NYY,OF,23,27,93,6,14,4,0,0,10
Jace Peterson,ARI,3B,34,41,93,5,17,3,2,0,9
Dominic Fletcher,ARI,OF,26,28,93,10,28,5,1,2,14
Nick Gordon,MIN,OF,28,34,91,13,16,5,1,2,7
Michael Chavis,WAS,2B,28,48,91,16,22,3,0,2,5
Sam Haggerty,SEA,OF,30,52,91,13,23,3,1,1,5
Jose Azocar,SD,OF,28,55,91,16,21,6,0,2,9
Jonathan Davis,MIA,OF,32,34,90,22,22,4,1,2,10
Matt Mervis,CHC,1B,26,27,90,8,15,2,0,3,11
Luis Urias,BOS,2B,27,32,89,13,20,4,0,2,13
David Fletcher,LAA,2B,30,33,89,7,22,1,0,2,12
Jonah Bride,OAK,3B,28,40,88,9,15,3,0,0,7
Cade Marlowe,SEA,OF,26,34,88,14,21,3,2,3,11
Jonathan Aranda,TB,DH,26,34,87,13,20,4,1,2,13
Carter Kieboom,WAS,3B,26,27,87,12,18,2,0,4,11
Osleivis Basabe,TB,SS,23,31,87,15,19,5,0,1,12
Joey Bart,SF,C,27,30,87,9,18,5,0,0,5
Raimel Tapia,BOS,OF,30,39,87,14,23,4,1,1,10
Luken Baker,STL,DH,27,33,86,9,18,3,0,2,10
Cristian Pache,PHI,OF,25,48,84,12,20,7,1,2,11
Miguel Andujar,PIT,OF,29,30,84,9,21,7,0,4,18
Carson Kelly,ARI,C,29,33,84,6,19,3,0,1,6
David Hensley,HOU,DH,28,30,84,12,10,1,0,1,3
Curtis Mead,TB,3B,23,24,83,12,21,3,1,1,5
Ceddanne Rafaela,BOS,OF,23,28,83,11,20,6,0,2,5
Trayce Thompson,CWS,OF,33,36,82,5,14,2,0,1,3
Hunter Dozier,KC,3B,32,29,82,8,15,2,1,2,9
Hanser Alberto,CWS,2B,31,30,82,11,18,5,0,3,16
Andrew Velazquez,LAA,SS,29,54,81,12,14,3,0,2,3
Brayan Rocchio,CLE,SS,23,23,81,9,20,6,0,0,8
Brett Sullivan,SD,C,30,33,81,7,17,3,0,1,6
Curt Casali,CIN,C,35,40,80,8,14,2,0,0,6
Brandon Dixon,SD,3B,32,33,79,10,16,4,0,2,9
Xavier Edwards,MIA,2B,24,30,78,12,23,3,0,0,3
Vidal Brujan,TB,2B,26,37,76,14,13,2,0,0,6
Taylor Motter,STL,SS,34,29,76,3,13,3,0,0,2
Wilyer Abreu,BOS,OF,24,28,76,10,24,6,0,2,14
Vaughn Grissom,ATL,SS,23,23,75,5,21,3,1,0,9
Yonathan Daza,COL,OF,30,24,74,8,20,6,0,0,7
Henry Ramos,CIN,OF,32,23,74,9,18,3,1,0,5
Ji-Man Choi,PIT,1B,33,23,73,9,15,4,0,6,11
Mike Brosseau,MIL,3B,30,29,73,4,15,2,0,4,8
Conner Capel,OAK,OF,27,32,73,6,19,5,0,0,3
Sam Hilliard,ATL,OF,30,40,72,15,17,5,0,3,6
Michael Busch,LAD,3B,26,27,72,9,12,3,0,2,7
Nick Martini,CIN,OF,33,29,72,10,19,3,1,6,16
Trayce Thompson,LAD,OF,33,36,71,12,11,0,0,5,14
Austin Wells,NYY,C,24,19,70,8,16,6,0,4,13
Hunter Goodman,COL,OF,24,23,70,6,14,4,3,1,17
Jake Marisnick,DET,OF,33,33,69,9,16,3,2,2,10
Aaron Hicks,NYY,OF,34,28,69,9,13,2,0,1,5
Franchy Cordero,NYY,OF,29,24,69,9,13,2,0,6,13
Luke Voit,MIL,1B,33,22,68,5,15,3,0,0,4
Ben Rortvedt,NYY,C,26,32,68,6,8,1,0,2,4
Dane Myers,MIA,OF,28,22,67,9,18,3,0,1,9
Clint Frazier,CWS,OF,29,33,66,10,13,1,1,0,3
Nicky Lopez,ATL,2B,29,26,65,13,18,3,0,1,12
Garrett Mitchell,MIL,OF,25,19,65,10,16,2,1,3,7
Danny Mendick,NYM,SS,30,35,65,4,12,3,0,1,4
Korey Lee,CWS,C,25,24,65,4,5,1,0,1,3
Brett Phillips,LAA,OF,30,40,63,9,11,1,0,3,6
Jordan Luplow,MIN,OF,30,32,63,10,13,3,0,2,4
Jon Singleton,HOU,1B,32,25,62,8,12,2,0,2,10
Jason Vosler,CIN,3B,30,20,62,6,10,2,1,3,10
Nick Loftin,KC,1B,25,19,62,10,20,5,1,0,10
Evan Carter,TEX,OF,21,23,62,15,19,4,1,5,12
Michael Stefanic,LAA,2B,28,25,62,5,18,2,1,0,6
Colton Cowser,BAL,OF,24,26,61,15,7,2,0,0,4
Estevan Florial,NYY,OF,26,19,61,5,14,3,1,0,8
Juan Yepez,STL,OF,26,28,60,5,11,1,0,2,2
Samad Taylor,KC,2B,25,31,60,11,12,2,1,0,4
Jonathan Arauz,NYM,2B,25,27,59,3,8,0,0,3,9
Franmil Reyes,KC,DH,28,19,59,5,11,0,0,2,7
Josh Donaldson,MIL,3B,38,17,59,5,10,4,0,3,11
Jo Adell,LAA,OF,25,17,58,7,12,3,1,3,6
Tomas Nido,NYM,C,30,22,56,5,7,0,0,0,1
Heliot Ramos,SF,OF,24,25,56,5,10,4,0,1,2
Tim Locastro,NYM,OF,31,43,56,13,13,3,0,2,3
Matt Beaty,KC,1B,31,26,56,7,13,4,0,0,3
Brad Miller,TEX,OF,34,27,56,8,12,4,0,1,6
Wade Meckler,SF,OF,24,20,56,6,13,1,0,0,4
Luis Urias,MIL,2B,27,20,55,5,8,2,0,1,5
Darick Hall,PHI,DH,28,18,54,2,9,1,0,1,3
Michael Brantley,HOU,OF,37,15,54,7,15,2,0,2,7
Nate Eaton,KC,OF,27,28,53,2,4,0,0,0,1
Bubba Thompson,TEX,OF,26,37,53,10,9,4,1,0,4
Trey Cabbage,LAA,OF,27,22,53,5,11,3,0,1,7
Mark Mathias,PIT,DH,29,22,52,5,12,2,0,0,4
Raimel Tapia,MIL,OF,30,20,52,10,9,0,0,2,3
Carson Kelly,DET,C,29,19,52,7,9,2,0,1,7
Jake Lamb,LAA,OF,33,19,51,7,11,1,0,2,5
Jose Fermin,STL,2B,25,21,51,2,12,1,0,0,4
Tyler Wade,OAK,3B,29,26,51,8,13,1,1,0,2
Kyle Lewis,ARI,DH,28,16,51,2,8,2,0,1,2
Ernie Clement,TOR,SS,28,30,50,7,19,1,1,1,10
C.J. Cron,LAA,1B,34,15,50,7,10,0,0,1,5
Paul DeJong,SF,SS,30,18,49,2,9,2,0,1,5
Bobby Dalbec,BOS,1B,28,21,49,6,10,2,0,1,1
Terrin Vavra,BAL,2B,27,27,49,9,12,0,0,0,5
Carlos Perez,CWS,C,27,27,49,5,10,4,0,1,3
Derek Hill,WAS,OF,28,13,47,3,8,1,0,0,1
Taylor Trammell,SEA,OF,26,22,46,7,6,0,0,3,11
Paul DeJong,TOR,SS,30,13,44,1,3,0,0,0,1
Jurickson Profar,SD,OF,31,14,44,4,13,2,0,1,7
Bryce Johnson,SF,OF,28,30,43,7,7,1,0,1,3
Jared Young,CHC,1B,28,16,43,8,8,0,3,2,8
Sam Huff,TEX,C,26,21,43,5,11,2,0,3,6
Cody Thomas,OAK,OF,29,19,42,1,10,3,0,1,2
Jonny DeLuca,LAD,OF,25,24,42,5,11,1,0,2,6
TJ Hopkins,CIN,OF,27,25,41,7,7,0,0,0,1
Sandy Leon,TEX,C,35,22,41,4,6,2,0,0,4
J.P. Martinez,TEX,OF,28,17,40,7,9,1,0,1,4
Kyren Paris,LAA,SS,22,15,40,4,4,0,0,0,1
Grae Kessinger,HOU,SS,26,26,40,3,8,2,0,1,1
Spencer Horwitz,TOR,1B,26,15,39,5,10,2,0,1,7
Jordyn Adams,LAA,OF,24,17,39,1,5,0,0,0,1
Marco Luciano,SF,SS,22,14,39,4,9,3,0,0,0
Hunter Renfroe,CIN,OF,32,14,39,4,5,0,0,1,4
Sean Bouchard,COL,OF,28,21,38,11,12,2,0,4,7
Coco Montes,COL,2B,27,18,38,3,7,2,0,1,3
Dominic Canzone,ARI,OF,26,15,38,4,9,2,0,1,8
Ivan Herrera,STL,C,24,13,37,6,11,2,0,0,4
Andrew Stevenson,MIN,OF,30,25,37,4,7,1,0,0,1
Eguy Rosario,SD,3B,24,11,36,6,9,1,1,2,6
Adam Haseley,CWS,OF,28,28,36,6,8,2,0,0,2
Blake Rutherford,WAS,OF,27,16,35,4,6,0,0,0,2
Andre Lipcius,DET,3B,26,13,35,3,10,1,0,1,4
Junior Caminero,TB,3B,20,7,34,4,8,1,0,1,7
Joey Ortiz,BAL,2B,25,15,33,4,7,1,0,0,4
Peyton Burdick,MIA,OF,27,14,33,4,6,2,0,1,2
David Hamilton,BOS,SS,26,15,33,2,4,2,0,0,0
Tyler Fitzgerald,SF,OF,26,10,32,3,7,2,0,2,5
Oneil Cruz,PIT,SS,25,9,32,7,8,1,0,1,4
Canaan Smith-Njigba,PIT,OF,25,15,32,3,4,1,1,0,5
Harrison Bader,CIN,OF,30,14,31,4,5,1,0,0,3
Travis Blankenhorn,WAS,3B,27,10,31,2,5,0,0,1,1
Oscar Mercado,STL,OF,29,20,31,3,9,3,0,0,5
Jorge Alfaro,COL,C,31,10,31,2,5,4,0,1,4
Ji-Man Choi,SD,1B,33,16,31,3,2,1,0,0,2
Jasson Dominguez,NYY,OF,21,8,31,6,8,1,0,4,7
Jose Tena,CLE,SS,23,18,31,2,7,2,0,0,3
Jordan Lawlar,ARI,SS,21,14,31,2,4,0,0,0,0
Logan Porter,KC,C,28,11,31,4,6,1,0,1,3
Heston Kjerstad,BAL,DH,25,13,30,3,7,1,0,2,3
Kolten Wong,LAD,2B,33,20,30,4,9,0,0,2,8
Kyle Stowers,BAL,OF,26,14,30,1,2,0,0,0,0
Rodolfo Castro,PHI,2B,25,14,30,2,3,0,0,0,2
Nelson Velazquez,CHC,OF,25,13,29,8,7,2,0,3,6
Jon Singleton,MIL,1B,32,11,29,3,3,1,0,0,2
Tyler Heineman,TOR,C,32,19,29,4,8,1,1,0,3
Kyle Garlick,MIN,OF,32,14,28,2,5,1,0,2,4
Edwin Rios,CHC,1B,30,18,28,3,2,1,0,1,2
Drew Millas,WAS,C,26,11,28,1,8,2,0,1,6
Nathan Lukes,TOR,OF,29,29,26,4,5,1,1,0,2
Bligh Madris,HOU,OF,28,12,26,4,4,1,0,0,0
Darin Ruf,MIL,DH,37,11,26,2,5,1,0,0,0
Chris Owings,PIT,2B,32,11,25,0,4,0,0,0,0
Austin Hedges,TEX,C,31,17,24,1,5,0,0,0,2
Dalton Guthrie,PHI,OF,28,23,24,4,4,1,0,0,0
Buddy Kennedy,ARI,3B,25,10,24,1,4,1,0,0,1
Drew Ellis,PHI,3B,28,12,23,4,5,0,0,2,4
Greg Allen,NYY,OF,31,22,23,6,5,1,1,1,1
Brian Serven,COL,C,29,11,23,0,3,1,0,0,1
Darin Ruf,SF,DH,37,9,23,1,6,2,0,0,3
Cooper Hummel,SEA,DH,29,10,23,2,2,1,0,0,0
Josh Lester,BAL,1B,29,11,22,0,4,0,0,0,4
Yonny Hernandez,LAD,3B,26,14,22,5,3,1,0,0,4
Tommy La Stella,SEA,DH,35,12,21,2,4,1,0,0,2
Austin Meadows,DET,OF,29,6,21,0,5,1,0,0,2
Luis Torrens,CHC,C,28,13,20,1,5,1,0,0,3
Juniel Querecuto,STL,2B,31,9,20,2,2,1,0,0,0
Brian O'Keefe,SEA,C,30,8,19,0,2,2,0,0,2
Isan Diaz,SF,2B,28,6,19,0,1,0,0,0,1
Johan Camargo,SF,2B,30,8,18,0,4,0,0,0,2
Abraham Toro,MIL,3B,27,9,18,4,8,0,0,2,9
Ryan Kreidler,DET,SS,26,11,18,2,2,0,0,0,0
Vinny Capra,PIT,3B,27,9,18,3,3,1,0,0,1
Cesar Salazar,HOU,C,28,13,18,1,2,0,0,0,0
Alexander Canario,CHC,DH,24,6,17,1,5,1,1,1,6
Jorge Alfaro,BOS,C,31,8,17,0,2,0,0,0,0
Weston Wilson,PHI,OF,29,8,16,5,5,0,0,1,2
Chadwick Tromp,ATL,C,29,6,16,1,2,1,0,0,1
Alfonso Rivas,SD,1B,27,8,15,2,3,2,0,0,1
Abraham Almonte,NYM,OF,34,8,15,1,1,1,0,0,0
Ben Gamel,SD,OF,32,6,15,2,3,1,0,0,2
Roberto Perez,SF,C,35,5,15,0,2,0,0,0,1
Jordan Luplow,TOR,OF,30,7,14,1,3,0,0,0,1
Eli White,ATL,OF,29,6,14,1,1,0,0,0,0
Seby Zavala,ARI,C,30,7,14,2,5,1,0,0,2
Pete Crow-Armstrong,CHC,OF,22,13,14,3,0,0,0,0,1
Taylor Kohlwey,SD,OF,29,5,13,0,2,0,0,0,0
Forrest Wall,ATL,OF,28,15,13,6,6,2,0,1,2
Manny Pina,OAK,C,37,4,12,1,3,0,0,1,1
Austin Wynns,LAD,C,33,5,11,0,2,1,0,0,2
Anthony Bemboom,BAL,C,34,6,11,0,2,0,0,0,0
Irving Lopez,STL,2B,28,5,11,0,0,0,0,0,1
Eric Haase,CLE,C,31,3,10,0,2,0,0,0,0
Ehire Adrianza,ATL,OF,34,5,10,0,0,0,0,0,0
Jahmai Jones,MIL,DH,26,7,10,2,2,1,0,0,3
Luke Williams,LAD,SS,27,4,10,0,1,0,0,0,0
Mark Mathias,SF,DH,29,5,10,1,2,0,0,0,2
Luke Williams,ATL,SS,27,7,9,1,0,0,0,0,0
Tyler Heineman,PIT,C,32,3,9,1,1,0,0,0,0
Raimel Tapia,TB,OF,30,5,9,4,3,0,0,0,0
David Dahl,SD,OF,30,4,9,1,1,0,0,1,1
Cal Stevenson,SF,OF,27,6,9,1,0,0,0,0,0
Jacob Amaya,MIA,SS,25,4,9,1,2,0,0,0,2
Livan Soto,LAA,SS,23,4,9,2,2,0,0,0,0
Tyler Naquin,CWS,OF,33,5,8,0,0,0,0,0,0
Luis Torrens,SEA,C,28,5,8,0,2,2,0,0,1
Michael Perez,NYM,C,31,3,8,1,4,1,0,0,0
Cole Tucker,COL,OF,27,5,8,2,4,0,0,0,2
Kevin Padlo,LAA,3B,27,3,8,1,1,1,0,0,0
Jonathan Ornelas,TEX,SS,24,8,7,2,1,0,0,0,0
Rylan Bannon,HOU,3B,28,2,6,0,0,0,0,0,0
Drew Maggi,PIT,3B,35,3,6,1,2,1,0,0,1
Adam Engel,SD,OF,32,5,6,0,0,0,0,0,0
AJ Pollock,SF,OF,36,5,6,0,0,0,0,0,0
Gary Sanchez,NYM,C,31,3,6,0,1,0,0,0,1
Tyler Cropley,KC,C,28,2,6,0,1,0,0,0,1
Cam Eden,TOR,OF,26,5,6,1,1,0,0,0,0
Caleb Hamilton,BOS,C,29,4,5,0,0,0,0,0,0
Jake Marisnick,LAD,OF,33,4,5,0,2,0,0,0,0
Matt Reynolds,CIN,3B,33,2,5,1,1,0,0,0,0
Isan Diaz,DET,2B,28,2,5,0,0,0,0,0,0
Tristan Gray,TB,1B,28,2,5,1,2,0,0,1,1
Mike Siani,STL,OF,24,5,5,0,0,0,0,0,0
Matt Beaty,SF,1B,31,4,5,1,1,0,0,0,1
Jeter Downs,WAS,SS,25,6,5,4,2,0,0,0,1
Cal Mitchell,PIT,OF,25,2,4,0,0,0,0,0,0
Connor Kaiser,COL,SS,27,3,4,0,0,0,0,0,0
Braden Shewmake,ATL,SS,26,2,4,0,0,0,0,0,0
Zack Collins,CLE,C,29,2,4,0,2,0,0,0,0
Meibrys Viloria,CLE,C,27,10,3,0,0,0,0,0,0
Austin Wynns,SF,C,33,1,2,0,0,0,0,0,0
Tres Barrera,STL,C,29,6,2,0,0,0,0,0,0
Chris Okey,LAA,C,29,2,2,0,0,0,0,0,0
Jake Marisnick,CWS,OF,33,9,2,1,0,0,0,0,0
Billy Hamilton,CWS,OF,33,3,2,2,0,0,0,0,0
Alejo Lopez,CIN,2B,28,1,2,1,1,1,0,0,1
Chandler Seagle,SD,C,28,1,1,0,0,0,0,0,0
Diego Castillo,ARI,OF,26,1,1,0,0,0,0,0,0
Mason McCoy,TOR,SS,29,6,1,2,0,0,0,0,0
Mike Siani,CIN,OF,24,3,0,1,0,0,0,0,0